shape,group,category,quality,old_name,new_name,source_path,source_grid,source_cell,file_path,new_file_path
circle,AI simple Anti AI,Nearly Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_12.png,01_2880x2880_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_10_12.png,10,12,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_10_12.png,newData/circle/AI simple Anti AI/Nearly Perfect/01_2880x2880_high.png
circle,AI simple Anti AI,Nearly Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_1_08.png,02_2880x2880_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_1_08.png,1,8,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_1_08.png,newData/circle/AI simple Anti AI/Nearly Perfect/02_2880x2880_high.png
circle,AI simple Anti AI,Nearly Perfect,high,round1-circle_10v_cropped_padded__circle-final-6x6_high__01_1_14.png,03_2880x2880_high.png,round1-circle_10v_cropped_padded/circle-final-6x6_high/01_1_14.png,1,14,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_10v_cropped_padded__circle-final-6x6_high__01_1_14.png,newData/circle/AI simple Anti AI/Nearly Perfect/03_2880x2880_high.png
circle,AI simple Anti AI,Nearly Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__01_10.png,04_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/01_10.png,1,10,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_cropped_padded__circle-final-6x6_high__01_10.png,newData/circle/AI simple Anti AI/Nearly Perfect/04_2880x2880_high.png
circle,AI simple Anti AI,Nearly Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__02_03.png,05_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/02_03.png,2,3,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_cropped_padded__circle-final-6x6_high__02_03.png,newData/circle/AI simple Anti AI/Nearly Perfect/05_2880x2880_high.png
circle,AI simple Anti AI,Nearly Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__02_23.png,06_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/02_23.png,2,23,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_cropped_padded__circle-final-6x6_high__02_23.png,newData/circle/AI simple Anti AI/Nearly Perfect/06_2880x2880_high.png
circle,AI simple Anti AI,Nearly Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__03_03.png,07_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/03_03.png,3,3,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_cropped_padded__circle-final-6x6_high__03_03.png,newData/circle/AI simple Anti AI/Nearly Perfect/07_2880x2880_high.png
circle,AI simple Anti AI,Nearly Perfect,high,round1-circle_cropped_padded__circle-final-6x6_high__03_07.png,08_2880x2880_high.png,round1-circle_cropped_padded/circle-final-6x6_high/03_07.png,3,7,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_cropped_padded__circle-final-6x6_high__03_07.png,newData/circle/AI simple Anti AI/Nearly Perfect/08_2880x2880_high.png
circle,AI simple Anti AI,Nearly Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__01_13.png,09_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/01_13.png,1,13,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__01_13.png,newData/circle/AI simple Anti AI/Nearly Perfect/09_2880x2880_medium.png
circle,AI simple Anti AI,Nearly Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__02_11.png,10_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/02_11.png,2,11,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__02_11.png,newData/circle/AI simple Anti AI/Nearly Perfect/10_2880x2880_medium.png
circle,AI simple Anti AI,Nearly Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__03_06.png,11_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/03_06.png,3,6,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__03_06.png,newData/circle/AI simple Anti AI/Nearly Perfect/11_2880x2880_medium.png
circle,AI simple Anti AI,Nearly Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__03_22.png,12_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/03_22.png,3,22,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__03_22.png,newData/circle/AI simple Anti AI/Nearly Perfect/12_2880x2880_medium.png
circle,AI simple Anti AI,Nearly Perfect,medium,round1-circle_cropped_padded__circle-final-6x6_medium__04_04.png,13_2880x2880_medium.png,round1-circle_cropped_padded/circle-final-6x6_medium/04_04.png,4,4,newData/circle/AI simple Anti AI/Nearly Perfect/round1-circle_cropped_padded__circle-final-6x6_medium__04_04.png,newData/circle/AI simple Anti AI/Nearly Perfect/13_2880x2880_medium.png
