rid,raterId,ratingIndex,pid,week,condition,word,source,path,wordAccuracy,wordPrecision,creativity,weirdness,submittedAt
R001,5c258d9a3217420001e6bdf4,0,,,,Abyss,ai_many,word_many_images/ABYSS/34.png,3,3,8,8,2026-08-03T13:24:58.089000+00:00
R001,5c258d9a3217420001e6bdf4,1,,,,Protection,ai_many,word_many_images/PROTECTION/21.png,8,8,3,2,2026-08-03T13:25:11.211000+00:00
R001,5c258d9a3217420001e6bdf4,2,,,,Aversion,ai_many,word_many_images/AVERSION/29.png,3,2,9,8,2026-08-03T13:25:24.849000+00:00
R001,5c258d9a3217420001e6bdf4,3,,,,Struggle,ai_many,word_many_images/STRUGGLE/12.png,7,7,2,2,2026-08-03T13:25:32.910000+00:00
R001,5c258d9a3217420001e6bdf4,4,,,,Darkness,ai_many,word_many_images/DARKNESS/22.png,1,1,10,10,2026-08-03T13:25:49.131000+00:00
R001,5c258d9a3217420001e6bdf4,5,,,,Business,ai_many,word_many_images/BUSINESS/17.png,1,1,8,8,2026-08-03T13:26:32.131000+00:00
R001,5c258d9a3217420001e6bdf4,6,,,,Control,ai_many,word_many_images/CONTROL/20.png,2,3,8,8,2026-08-03T13:26:39.190000+00:00
R001,5c258d9a3217420001e6bdf4,7,,,,Contamination,ai_many,word_many_images/CONTAMINATION/27.png,9,10,2,3,2026-08-03T13:26:47.930000+00:00
R001,5c258d9a3217420001e6bdf4,8,,,,Vision,ai_many,word_many_images/VISION/05.png,2,1,8,8,2026-08-03T13:26:57.013000+00:00
R001,5c258d9a3217420001e6bdf4,9,,,,Energy,ai_many,word_many_images/ENERGY/23.png,2,1,7,6,2026-08-03T13:27:07.571000+00:00
R001,5c258d9a3217420001e6bdf4,10,,,,Abyss,ai_many,word_many_images/ABYSS/15.png,5,6,3,3,2026-08-03T13:27:37.931000+00:00
R001,5c258d9a3217420001e6bdf4,11,,,,Accident,ai_many,word_many_images/ACCIDENT/31.png,1,1,9,9,2026-08-03T13:27:45.769000+00:00
R001,5c258d9a3217420001e6bdf4,12,,,,Magic,ai_many,word_many_images/MAGIC/03.png,10,10,1,1,2026-08-03T13:27:54.670000+00:00
R001,5c258d9a3217420001e6bdf4,13,,,,Control,ai_many,word_many_images/CONTROL/22.png,1,2,8,8,2026-08-03T13:29:20.262000+00:00
R001,5c258d9a3217420001e6bdf4,14,,,,Contamination,ai_many,word_many_images/CONTAMINATION/15.png,1,1,9,8,2026-08-03T13:29:28.275000+00:00
