filename,openai,tesseract,easyocr,verified,label
10_01.png,Sun,/ \ | Sun,Sun,Sun,sun
10_02.png,Hot Air Balloon,iw Hot Air Balloon,Balloon Hot Air,Hot Air Balloon,hot air balloon
10_03.png,Apple,Apple,Apple,Apple,apple
10_04.png,Clock,Clock,Clock,Clock,clock
10_05.png,Fish,NY Fish,Fish,Fish,fish
10_06.png,Crystal Ball,a Crystal Ball,Crystal Ball,Crystal Ball,crystal ball
10_07.png,Cookie,Cookie,Cookie,Cookie,cookie
10_08.png,Magnifying Glass,aNd) Magnifying Glass,Magnifying Glass,Magnifying Glass,magnifying glass
10_09.png,Wreath,Se AY Wreath,Wreath,Wreath,wreath
10_10.png,Frying Pan,0) Frying Pan,Frying Pan,Frying Pan,frying pan
10_11.png,Bomb,Bomb,Bomb,Bomb,bomb
10_12.png,Snowman,"v ™ Nee, Snowman",Snowman,Snowman,snowman
10_13.png,Donut,—_—=J7 Donut,Donut,Donut,donut
10_14.png,Life Preserver,MLL Life Preserver,Preserver Life,Life Preserver,life preserver
10_15.png,Ladybug,Ladybug,Ladybug,Ladybug,ladybug
10_16.png,Planet,OU Planet,Planet,Planet,planet
10_17.png,Lollipop,U Lollipop,Lollipop,Lollipop,lollipop
10_18.png,Light Bulb,SS Light Bulb,Light Bulb,Light Bulb,light bulb
10_19.png,Steering Wheel,“nee Steering Whee|,Steering Wheel,Steering Wheel,porthole
10_20.png,Porthole,Mv—_2 Porthole,Porthole,Porthole,porthole
10_21.png,Compass,ee Compass,Compass,Compass,compass
10_22.png,Target,Targ et,Target,Target,target
10_23.png,Button,MLU€UU> Button,Button,Button,button
10_24.png,Coin,—=s Coin,Coin,Coin,coin
10_25.png,Volleyball,Volleyball,Volleyball,Volleyball,volleyball/basketball
10_26.png,Window,Window,Window,Window,window
10_27.png,Pizza,—_-7 Pizza,Pizza,Pizza,pizza
10_28.png,Bicycle Wheel,Bicycle Wheel,Bicycle Wheel,Bicycle Wheel,wheel
10_29.png,Tennis Ball,Tennis Ball,Tennis Ball,Tennis Ball,tennis ball
10_30.png,Alarm Clock,Alarm Clock,Alarm Clock,Alarm Clock,alarm clock
10_31.png,Globe,—— Globe,Globe,Globe,globe/earth
10_32.png,Pool Ball,Pool Ball,Pool Ball,Pool Ball,8 ball
10_33.png,Flower,PN ae Flower,Flower,Flower,flower
10_34.png,Cheese,Cheese,Cheese,Cheese,cheese
