filename,openai,tesseract,easyocr,verified,label
10_01.png,Sunrise,Fe .* Sunrise,Sunrise,Sunrise,sun
10_02.png,Smiley Face,Smiley Face,Smiley Face,Smiley Face,smiley face
10_03.png,Balloon,( Balloon,Balloon,Balloon,balloon
10_04.png,Fish,NY Fish,Fish,Fish,fish
10_05.png,Apple,Apple,Apple,Apple,apple
10_06.png,Clock,Clock,Clock,Clock,clock
10_07.png,Coffee Cup,Coffee Cup,Cup Coffee,Coffee Cup,cup
10_08.png,Wheels,Wheels,Wheels,Wheels,wheel
10_09.png,Earth,Earth,Earth,Earth,globe/earth
10_10.png,Snowman,Su Snow Man,Snowman,Snowman,snowman
10_11.png,Bomb,Bomb,Bomb,Bomb,bomb
10_12.png,Crystal Ball,Cu) Crystal Ball,Crystal Ball,Crystal Ball,crystal ball
10_13.png,Fried Egg,Fried Egg,Fried Egg,Fried Egg,fried egg
10_14.png,Donut,Donut,Donut,Donut,donut
10_15.png,Bullseye,Bullseye,Bullseye,Bullseye,target
10_16.png,Kettle,Kettle,Kettle,Kettle,teapot
10_17.png,Doughnut Hole,Doughnut Hole,Doughnut Hole,Doughnut Hole,donut
10_18.png,Moon,Moon,Moon,Moon,moon
10_19.png,Sailing Boat,Sailing Boat,Sailing Boat,Sailing Boat,sailboat
10_20.png,Magnifying Glass,Magnifying Glass,Magnifying Glass,Magnifying Glass,magnifying glass
10_21.png,Light Bulb,a Light Bulb,Light Bulb,Light Bulb,light bulb
10_22.png,Bee,Bee,Bee,Bee,bee
10_23.png,Cake,Cake,Cake,Cake,cake
10_24.png,Porthole,Porthole,Porthole,Porthole,porthole
10_25.png,Glasses,Glasses,Glasses,Glasses,glasses
10_26.png,Button,Button,Button,Button,button
10_27.png,Planet with Ring,Planet with Ring,Ring Planet with,Planet with Ring,planet
10_28.png,Tire Swing,VN \ty7 Tire Swing,Swing Tire,Tire Swing,tire
10_29.png,Medal,Medal,Medal,Medal,medal
10_30.png,Life Preserver,ee Life Preserver,Life Preserver,Life Preserver,life preserver
10_31.png,Satellite Dish,Satellite Dish,Satellite Dish,Satellite Dish,satellite dish
10_32.png,Pac-Man,Pac-Man,Pac - Man,Pac-Man,pac-man
10_33.png,Lollipop,U Lollipop,Lollipop,Lollipop,lollipop
10_34.png,Globe on Stand,a | G lobe on Stand,Globe Stand on,Globe on Stand,globe/earth
10_35.png,8-Ball,8 - Ball,8 - Ball,8-Ball,8 ball
10_36.png,Poké Ball,Poke Ball,Poke Ball,Poké Ball,poké ball
1_01.png,Sun,| Sun,Sun,Sun,sun
1_02.png,Flower,24 Flower,Flower,Flower,flower
1_03.png,Clock,Clock,Clock,Clock,clock
1_04.png,Balloon,TY Balloon,Balloon,Balloon,balloon
1_05.png,Fish,Fish,Fish,Fish,fish
1_06.png,Eye,Eye,Eye,Eye,eye
1_07.png,Wheel,Wheel,Wheel,Wheel,wheel
1_08.png,Cookie,NL Cookie,Cookie,Cookie,cookie
1_09.png,Button,> ee Button,Button,Button,button
1_10.png,Cup,= Cup,Cup,Cup,cup
1_11.png,Ladybug,fmnw_L* Ladybug,Ladybug,Ladybug,ladybug
