filename,openai,tesseract,easyocr,verified,label
10_01.png,Ladder to Nowhere,Ladder to Nowhere,Nowhere Ladder to,Ladder to Nowhere,ladder
10_02.png,Stage Curtains,Ul) ~ US Stage Curtains,UJ Stage Curtains,Stage Curtains,curtains
10_03.png,Closed Door,Closed Door,Closed Door,Closed Door,door
10_04.png,Playground Swing,wilh) Vile Playground Swing,Swing Playground,Playground Swing,swing
10_05.png,Canyon Path,\\ lees tl Canyon Path,| M Canyon Path,Canyon Path,canyon
10_06.png,Open Book,a a 2 Open Book,Book Open,Open Book,open book
10_07.png,Goal Posts,oo Goal Posts,Goal Posts,Goal Posts,goalposts
10_08.png,Clothesline,Clothesline,Clothesline,Clothesline,clothesline
10_09.png,Hanging Sign,pre 0 Pe 7 Hanging Sign,Hanging Sign,Hanging Sign,hanging sign
10_10.png,Elevator Doors,| | | | | Elevator Doors,Doors Elevator,Elevator Doors,elevator
10_11.png,Picture Frame,Co) Picture Frame,Picture Frame,Picture Frame,picture frame
10_12.png,Puppet Theater,US LU Puppet Theater,Puppet Theater,Puppet Theater,curtains
10_13.png,Towel Rack,Ib a IL Towel Rack,Towel Rack,Towel Rack,towel rack
10_14.png,Chipmunk,NN Chipmunk,Chipmunk,Chipmunk,chipmunk
10_15.png,Skis,~ell ple Skis,Skis,Skis,skis
10_16.png,Sliding Doors,l J | a | Sliding Doors,Sliding Doors,Sliding Doors,doors
10_17.png,Window,Window,U Window,Window,curtains
10_18.png,Jail Bars,U U UF U Jail Bars,Bars Jail,Jail Bars,jail
10_19.png,Castle Towers,Castle Towers,Castle Towers,Castle Towers,castle
10_20.png,Electrical Plug,// Electrical Plug,Plug Electrical,Electrical Plug,plug
10_21.png,Chopsticks,UU Chopsticks,Chopsticks,Chopsticks,chopsticks
10_22.png,Robot,fo = Robot,Robot,Robot,robot
10_23.png,Road,// ' | \,Road,Road,road
10_24.png,Tree Trunk,"wlio lV, Tree Trunk",~I / Trunk Tree,Tree Trunk,tree trunk
10_25.png,Parallel Bars,—iL 4 Parallel Bars,Parallel Bars,Parallel Bars,parallel bars
10_26.png,Tunnel Entrance,Tunnel Entrance,4 Entrance Tunnel,Tunnel Entrance,tunnel
10_27.png,Harbor Pilings,mae Neer Harbor Pilings,Pilings Harbor,Harbor Pilings,harbor pilings
10_28.png,Books on Shelf,CO Books on Shelf,Shelf Books on,Books on Shelf,bookend
