filename,openai,tesseract,easyocr,verified,label
10_01.png,GATE,es | | GATE,GATE,GATE,gate
10_02.png,PAUSE,PAUSE,PAUSE,PAUSE,pause
10_03.png,LADDER,LADDER,LADDER,LADDER,ladder
10_04.png,SWING,SWING,Swing,SWING,swing
10_05.png,DOOR,‘LT! DooR,Door,DOOR,door
10_06.png,CHOPSTICKS,ey * CHOPSTICKS,chopsticks,CHOPSTICKS,chopsticks
10_07.png,CANYON,a ee | | CANYON,CAnyon,CANYON,canyon
10_08.png,RAILROAD,TEA RAILROAD,RAILROAD,RAILROAD,train tracks
10_09.png,GOAL POST,GOAL POST,GOAL Post,GOAL POST,goalposts
10_10.png,CURTAINS,Ww * » Ww CURTAINS,CurtAinS,CURTAINS,curtains
10_11.png,BRIDGE,BRIDGE,Bridge,BRIDGE,bridge
10_12.png,LETTER H,LETTER H,Letter H,LETTER H,letter h
10_13.png,BATTERY,J ' BATTERY,BATTERY,BATTERY,battery
10_14.png,SKIS,=I _- SKIS,Skis,SKIS,skis
10_15.png,PARALLEL BARS,ry} = PARALLEL BARS,BARS PARALLEL,PARALLEL BARS,parallel bars
10_16.png,HALLWAY,/—_— = HALLWAY,HALLWAY,HALLWAY,hallway
10_17.png,ELEVATOR,Uj ti ELEVATOR,ELEVAToR,ELEVATOR,elevator
10_18.png,BAND LEADER,i a BAND LEADER,BAND LEADER,BAND LEADER,band leader
10_19.png,BUTTERFLY,BUTTERFLY,ButterFly,BUTTERFLY,butterfly
10_20.png,BOOKSHELF,BOOKSHELF,BooKShELF,BOOKSHELF,bookshelf
10_21.png,BARRICADE,BARRICADE,BARRiCADE,BARRICADE,hurdle
10_22.png,VASE,‘Lys & VASE,VASE,VASE,vase
10_23.png,SAILBOAT,SAILBOAT,SAILBOAT,SAILBOAT,sailboat
10_24.png,SANDWICH,SANDWICH,SANDWich,SANDWICH,sandwich
10_25.png,RABBIT,RABBIT,RABBiT,RABBIT,rabbit face
10_26.png,BARBELL,BARBELL,BARBELL,BARBELL,barbell
10_27.png,JAIL CELL,JAIL CELL,JAIL CELL,JAIL CELL,jail
10_28.png,WATERFALL,i WATERFALL,WATERFALL,WATERFALL,waterfall
10_29.png,TABLE,TABLE,TABLE,TABLE,table
10_30.png,OPEN BOOK,OPEN BOoK,Book OPEN,OPEN BOOK,open book
10_31.png,ROAD,ROAD,ROAD,ROAD,road
10_32.png,ABACUS,u u ABACUS,ABACUS,ABACUS,abacus
10_33.png,PLUG,PLUG,PLuG,PLUG,plug
10_34.png,SALOON DOORS,ad u SALOON DOORS,Doors SALOON,SALOON DOORS,saloon doors
10_35.png,PANTS,PANTS,PANTS,PANTS,pants
10_36.png,SEESAW,SEESAW,SEESAW,SEESAW,seesaw
1_01.png,Twin Trees,n~jJoa ne Twin Trees,Twin Trees,Twin Trees,trees
1_02.png,Cliff Gap,1 | Cliff Gap,Gap Cliff,Cliff Gap,cliff gap
1_03.png,Hammock,q 4 Hammock,Hammock,Hammock,hammock
1_04.png,Swing Set,L q Swing Set,Swing Set,Swing Set,swing
1_05.png,Bunting,i t Bunting,Bunting,Bunting,bunting
1_06.png,Ladder,1 ie | Ladder,Ladder,Ladder,ladder
1_07.png,Goal Posts,Sl Ke tee aiid Goal Posts,Goal Posts,Goal Posts,goalposts
1_08.png,Doorway,—_——— Doorway,Doorway,Doorway,door
1_09.png,Elevator,t t Elevator,Elevator,Elevator,elevator
1_10.png,Curtains,wi | Curtains,Curtains,Curtains,curtains
1_11.png,Bookshelf,| eh Bookshelf,Bookshelf,Bookshelf,bookshelf
1_12.png,Pull-Up Bar,t LY Pull-Up Bar,Pull-Up Bar,Pull-Up Bar,parallel bars
1_13.png,Magnet,Magnet,Magnet,Magnet,magnet
1_14.png,Castle Gate,Castle Gate,Castle Gate,Castle Gate,castle
1_15.png,Tuning Fork,| Tuning Fork,Tuning Fork,Tuning Fork,tuning fork
1_16.png,Slingshot,Slingshot,Slingshot,Slingshot,slingshot
1_17.png,Chipmunk Cheeks,Chipmunk Cheeks,Chipmunk Cheeks,Chipmunk Cheeks,animal face
1_18.png,Pants,iJ WJ Pants,Pants,Pants,pants
1_19.png,Plug & Socket,Plug & Socket,Plug & Socket,Plug & Socket,plug
1_20.png,Battery,Battery,Battery,Battery,battery
1_21.png,Pause Button,Pause Button,Pause Button,Pause Button,pause
1_22.png,Book Ends,Book Ends,Book Ends,Book Ends,bookend
1_23.png,Traffic Lanes,| ' t Traffic Lanes,Traffic Lanes,Traffic Lanes,road
1_24.png,Tram Doors,-— I Tram Doors,Tram Doors,Tram Doors,doors
1_25.png,Robot,"""ano * Robot",Robot,Robot,robot
1_26.png,Tombstone,Ce tte Lg ~) ‘Tombstone,Tombstone,Tombstone,tombstone
1_27.png,Vase,i ae Aan Vase,Vase,Vase,vase
1_28.png,Hourglass,Hourglass,Hourglass,Hourglass,hourglass
1_29.png,DNA Helix,‘re! DNA Helix,DNA Helix,DNA Helix,dna
1_30.png,Park Bench,Lg | Park Bench,Park Bench,Park Bench,park bench
1_31.png,Skis,Skis,Skis,Skis,skis
1_32.png,Piano Keys,Piano Keys,Keys Piano,Piano Keys,piano keys
1_33.png,Jump Rope,Jump Rope,Rope Jump,Jump Rope,jump rope
1_34.png,Bridge,Bridge,Bridge,Bridge,bridge
1_35.png,Eyes,Eyes,Eyes,Eyes,eyes
1_36.png,Open Book,Open Book,Open Book,Open Book,open book
2_01.png,Swing,Swing,Swing,Swing,swing
2_02.png,Ladder,Ladder,Ladder,Ladder,ladder
2_03.png,Door,es es Pn Door,Door,Door,door
2_04.png,Hammock,' I Hammock,Hammock,Hammock,hammock
2_05.png,Goalposts,Goal posts,Goalposts,Goalposts,goalposts
2_06.png,Clothesline,Clothesline,Clothesline,Clothesline,clothesline
2_07.png,Pause Button,Pause Button,Pause Button,Pause Button,pause
2_08.png,Bookshelf,(iit 1 Bookshelf,Bookshelf,Bookshelf,bookshelf
2_09.png,Elevator,|} Elevator,Elevator,Elevator,elevator
2_10.png,Curtains,L- “CLS Curtains,Curtains,Curtains,curtains
2_11.png,Crutches,O O Crutches,Crutches,Crutches,crutches
2_12.png,Skis,Til tut Skis,Skis,Skis,skis
2_13.png,Chopsticks,Chopsticks,Chopsticks,Chopsticks,chopsticks
2_14.png,Train Tracks,4hH—t- Train Tracks,AF F Train Tracks,Train Tracks,train tracks
2_15.png,Tuning Fork,U Tuning Fork,Tuning Fork,Tuning Fork,tuning fork
2_16.png,Bunny Ears,F ° ot Bunny Ears,# Bunny Ears,Bunny Ears,rabbit ears
2_17.png,Cake,| es | Cake,Cake,Cake,cake
2_18.png,Bridge,Bridge,Bridge,Bridge,bridge
2_19.png,Glasses,Glasses,Glasses,Glasses,glasses
2_20.png,Scissors,YP WY Scissors,Scissors,Scissors,scissors
2_21.png,Doorway,—1_C_k_l Doorway,Doorway,Doorway,door
2_22.png,Picture Frame,Picture Frame,Picture Frame,Picture Frame,picture frame
2_23.png,Tombstone,DV A And AL [en Tombstone,Tombstone,Tombstone,tombstone
2_24.png,Pants,Lj Ld Pants,Pants,Pants,pants
2_25.png,Traffic Lanes,jo4fk Traffic Lanes,Traffic Lanes,Traffic Lanes,road
2_26.png,Slide,Slide,Slide,Slide,slide
2_27.png,Cloud Rain,o | on id Cloud Rain,Cloud Rain,Cloud Rain,rain
2_28.png,Shopping Bag,| Shopping Bag,Bag Shopping,Shopping Bag,shopping bag
2_29.png,Battery,| Battery,Battery,Battery,battery
2_30.png,Test Tubes,U U Test Tubes,Test Tubes,Test Tubes,test tubes
2_31.png,Chimney,7 N Chimney,Chimney,Chimney,chimney
2_32.png,Swing Doors,Swing Doors,Swing Doors,Swing Doors,doors
2_33.png,Rows of Trees,Rows of Trees,Rows of Trees,Rows of Trees,trees
2_34.png,Stethoscope,YZ Stethoscope,Stethoscope,Stethoscope,stethoscope
2_35.png,Slot Machine,a | Slot Machine,Slot Machine,Slot Machine,slot machine
2_36.png,Tooth,YF VY Tooth,Tooth,Tooth,tooth
3_01.png,OPEN DOOR,—_} _—— OPEN DOOR,OPEN,OPEN DOOR,door
3_02.png,SWING,wn * My SWING,SWInG,SWING,swing
3_03.png,LADDER,| t LADDER,LADDER,LADDER,ladder
3_04.png,GOAL POSTS,Sa N GOAL POSTS,Posts GOAL,GOAL POSTS,goalposts
3_05.png,TUNNEL,one,TUNNEL,TUNNEL,tunnel
3_06.png,BUTTERFLY,BUTTERFLY,BUTTERFLY,BUTTERFLY,butterfly
3_07.png,HOURGLASS,a HOURGLASS,HOURGLASS,HOURGLASS,hourglass
3_08.png,ELEVATOR,—1_1__1_ ELEVATOR,ELEVATOR,ELEVATOR,elevator
3_09.png,PENCIL,WwW PENCIL,PENCIL,PENCIL,pencil
3_10.png,BOOK,>See BOOK,Book,BOOK,book
3_11.png,RAIN,1 ° 1 | RAIN,RAIN,RAIN,rain
3_12.png,CHOPSTICKS,CHOPSTICKS,CHOPSTICKS,CHOPSTICKS,chopsticks
3_13.png,VASE,} i “( VASE,VASE,VASE,vase
3_14.png,SLIDING DOORS,SLIDING DOORS,-,SLIDING DOORS,doors
3_15.png,ROCKET,bene,RockET,ROCKET,rocket
3_16.png,TENT,OVE coe See VOT TENT,TENT,TENT,tent
3_17.png,CHARGING BATTERY,a _ CHARGING BATTERY,BATTERY CHARGING,CHARGING BATTERY,battery
3_18.png,THEATER CURTAINS,LJ LJ THEATER CURTAINS,THEATER CURTAiNS,THEATER CURTAINS,curtains
3_19.png,BRIDGE,BRIDGE,Bridge,BRIDGE,bridge
3_20.png,PRESENT,SS PRESENT,PRESENT,PRESENT,gift
3_21.png,BINOCULARS,Cc BINOCULARS,-,BINOCULARS,binoculars
3_22.png,PANTS,LJ UL PANTS,PANTS,PANTS,pants
3_23.png,SKIS,“UU? SKIS,UU Skis,SKIS,skis
3_24.png,TREE TRUNK,TREE TRUNK,TREE Trunk,TREE TRUNK,tree trunk
3_25.png,DRINK CUP,LU J DRINK CuP,Drink CuP,DRINK CUP,cup
3_26.png,GUITAR,ae GUITAR,-,GUITAR,guitar
3_27.png,WINDOW,= —_~ J WINDOW,-,WINDOW,curtains
3_28.png,BEE,BEE,BEE,BEE,bee
3_29.png,TOWEL ON RACK,TOWEL ON RACK,TOWEL ON RACK,TOWEL ON RACK,towel on rack
3_30.png,DOOR HANDLE,DOOR HANDLE,HANDLE,DOOR HANDLE,door handle
3_31.png,PENGUIN,QTD PENGUIN,PENGUIN,PENGUIN,penguin
3_32.png,SKATEBOARD,SKATEBOARD,SKATEBOARD,SKATEBOARD,skateboard
3_33.png,CACTUS,LJ CACTUS,CACTUS,CACTUS,cactus
3_34.png,LIGHTHOUSE,WO LIGHTHOUSE,LIGHTHOUSE,LIGHTHOUSE,lighthouse
3_35.png,MARBLE PILLARS,MARBLE PILLARS,MARBLE PILLARS,MARBLE PILLARS,pillars
3_36.png,TEETH,TEETH,TEETH,TEETH,tooth
4_01.png,Swing Set,c | Swing Set,Swing Set,Swing Set,swing
4_02.png,Ladder,| | Ladder,Ladder,Ladder,ladder
