filename,tesseract,easyocr,openai
01.png,SZ,-,-
02.png,i KM oO,-,-
03.png,hf,-,-
04.png,ll,-,-
05.png,|,-,-
06.png,-,-,-
07.png,-,-,-
08.png,-,-,-
09.png,"ONS . 27, - ae : +",-,-
10.png,a oe,-,-
11.png,eS,-,-
12.png,i ! ~ iS,-,-
13.png,-,-,-
14.png,Fn SN,-,-
15.png,my (4. 7-— NN ‘,-,-
16.png,YW!,-,-
17.png,e vv . ° 6,-,-
18.png,AN ~.,-,-
19.png,eS,-,-
20.png,Z,-,-
21.png,“Ey,-,-
22.png,MK. °,-,-
23.png,NSF,-,-
24.png,ae vu 0 /,-,-
25.png,yy ~,-,-
26.png,_|,-,-
27.png,WADARS SSF,-,-
28.png,ES,-,-
29.png,—~—_—————- LES”,-,-
30.png,L_—),-,-
31.png,-,-,-
32.png,ENA!,-,-
33.png,-,-,-
34.png,cas,-,-
35.png,"EEO,",K 0,-
36.png,-,-,-
