filename,tesseract,easyocr,openai
01.png,__ CC,-,-
02.png,-,-,-
03.png,a} Z\},-,-
04.png,ab,-,-
05.png,ZO,-,-
06.png,—vw N Var.,-,-
07.png,=,-,-
08.png,GTUNA MON,-,-
09.png,“,-,-
10.png,eZ,-,-
11.png,— en Uf -—,-,-
12.png,of ap,-,-
13.png,Ee,-,-
14.png,SX,-,-
15.png,-,-,-
16.png,UV,-,-
17.png,KS o¥,-,-
18.png,\\ Ye,-,-
19.png,TIL lL,-,-
20.png,YG,-,-
21.png,—,-,-
22.png,a0/),-,-
23.png,nt ell,-,-
24.png,Se,-,-
25.png,od >,-,-
26.png,L—___||,-,-
27.png,[ \,-,-
28.png,PLANNED,PLANNED,NO PLANNED
29.png,ae\,-,-
30.png,-,-,-
31.png,2,-,-
32.png,~ oe 7,-,-
33.png,) [1%,-,-
34.png,Ses,-,-
35.png,N\A,-,-
36.png,-,-,-
