filename,tesseract,easyocr,openai
01.png,Le,-,-
02.png,QW,-,-
03.png,(a,-,-
04.png,-,-,-
05.png,na vw —0,-,-
06.png,Va,Y >,-
07.png,BS QS,-,-
08.png,lk,-,-
09.png,YYN,-,-
10.png,JY),-,-
11.png,“= A,-,-
12.png,| ———=_,-,-
13.png,NZ,-,-
14.png,(x7 (4 |,LL,-
15.png,—! |,-,-
16.png,-,-,-
17.png,KO,-,-
18.png,XY,-,-
19.png,fF |,-,-
20.png,IT,UT,-
21.png,—,-,-
22.png,UY,-,-
23.png,TU,-,-
24.png,( ~*~,-,-
25.png,( ‘“,-,-
26.png,WY,-,-
27.png,TY I,-,-
28.png,Lip,-,-
29.png,NA ™,-,-
30.png,Eo,-,-
31.png,-,-,-
32.png,—_— a — ———,-,-
33.png,| 11,-,-
34.png,a,-,-
35.png,“le LAE,-,-
36.png,-,-,-
