filename,tesseract,easyocr,openai
01.png,LUN,-,-
02.png,SET rN,-,-
03.png,Ai,-,-
04.png,"NL, %",%,-
05.png,—,-,-
06.png,"fi,",-,-
07.png,SK,-,-
08.png,~ LA,-,-
09.png,MTT Tr!,-,-
10.png,‘OO,-,-
11.png,=,-,-
12.png,11 it,-,-
13.png,-,=,-
14.png,ae,-,-
15.png,$,$,-
16.png,oY Ito,-,-
17.png,Noy,-,-
18.png,: oe ee,L 3,-
19.png,oe),-,-
20.png,Lo),-,-
21.png,eel,-,-
22.png,us ve re ( __—oarwa nw ~~ —~- —™—,-,-
23.png,LL —,-,-
24.png,—,-,-
25.png,a? a!,-,-
26.png,Jititit,-,-
27.png,—,-,-
28.png,4,-,-
29.png,ae,-,-
30.png,Lj |,-,-
31.png,\ >],-,$
32.png,Ns 7,S,s
33.png,t_§Mi\s,-,-
34.png,AY |,-,-
35.png,ALY,-,-
36.png,(OF,-,-
