filename,tesseract,easyocr,openai
01.png,-,-,-
02.png,OS Zu:,-,-
03.png,Jo\,-,-
04.png,OAT TN,-,-
05.png,-,-,-
06.png,/ PF LAA} <d,-,-
07.png,La 2S,-,-
08.png,| KZN,-,-
09.png,-,-,-
10.png,| 2 3 |,2 3,-
11.png,PL SN,-,-
12.png,el,-,-
13.png,-,-,-
14.png,ow ENO StS,-,-
15.png,SS,-,-
16.png,H or,-,-
17.png,AAA AN AA cA t EK,-,-
18.png,-,-,-
19.png,-,-,-
20.png,__t | |,-,-
21.png,-,-,-
22.png,ae e a,-,-
23.png,-,-,-
24.png,a ee ———elU =k,-,-
25.png,-,-,-
26.png,ae ee a,-,-
27.png,Lm _| VS Lm _|,VS,vs
28.png,Hiro ord,-,-
29.png,-,-,-
30.png,KAZAA,-,-
31.png,-,-,-
32.png,LCM. SD,-,-
33.png,an,VS,vs
34.png,Se 1 YY,-,-
35.png,YL UL,-,-
36.png,-,-,-
