filename,tesseract,easyocr,openai
01.png,-,-,-
02.png,-,-,-
03.png,Nar,-,-
04.png,t s | A ee |,-,-
05.png,NWA TEE,-,-
06.png,-,-,-
07.png,-,-,-
08.png,° Vina °° .° ove =< — *- _ —,-,-
09.png,a,-,-
10.png,-,-,-
11.png,(3),-,-
12.png,WO,-,-
13.png,-,-,-
14.png,OS,-,-
15.png,Sag de! NAN \G 6 ea =,-,-
16.png,fa,-,-
17.png,SF OS sa,-,-
18.png,@ ro -* . e. “% 6 . oe 7 6 ee . . . .,-,-
19.png,Sa =>,-,-
20.png,>,-,-
21.png,-,-,-
22.png,~| ——— Va,-,-
23.png,CA,-,-
24.png,-,-,-
25.png,ze ES,-,-
26.png,es,-,-
27.png,ae NE,-,-
28.png,-,-,-
29.png,-,-,-
30.png,-,-,-
31.png,\ SNE,-,-
32.png,JIL Ogee eth,JIL &,-
33.png,-,-,-
34.png,-,-,-
35.png,-,-,-
36.png,-,-,-
