filename,tesseract,easyocr,openai
01.png,VN,-,-
02.png,NID,-,-
03.png,CACO,-,-
04.png,CA,-,-
05.png,A® LI,-,-
06.png,\D,-,-
07.png,7 -,-,-
08.png,oe,-,-
09.png,TT,-,-
10.png,OY ~~,-,-
11.png,LF NY,-,-
12.png,“0” AAPL oe) | | rT?,-,-
13.png,~-™a_{4_ es,-,-
14.png,—_—_~,-,-
15.png,A,-,-
16.png,CO,-,-
17.png,bo Vy uaeee,-,-
18.png,/ ae),-,-
19.png,-,-,-
20.png,ND,-,-
21.png,——y,-,-
22.png,NANO,-,-
23.png,1,-,-
24.png,._ fo _~ ee —_ \ a,-,-
25.png,[a |,-,-
26.png,———,-,-
27.png,aoe,-,-
28.png,—_ QQ”,-,-
29.png,—_ ’ a _e,-,-
30.png,-,-,-
31.png,Woy,-,-
32.png,"Ko)—fe""",-,-
33.png,I (a) |,-,-
34.png,1,-,-
35.png,-,-,-
36.png,-,-,-
