filename,tesseract,easyocr,openai
01.png,SYY,-,-
02.png,2,-,-
03.png,——— |,-,-
04.png,ee,-,-
05.png,“she = nae,-,-
06.png,-,-,-
07.png,a>,-,-
08.png,SLE,-,-
09.png,hae —,-,-
10.png,-,-,-
11.png,bi Addis,-,-
12.png,>=,-,-
13.png,Ce Ie,-,-
14.png,-,-,-
15.png,Fe,-,-
16.png,KAY DN,-,-
17.png,——_———,-,-
18.png,Ss,-,-
19.png,SW,-,-
20.png,ae Ls,-,-
21.png,“COLTS OY1/,-,-
22.png,-,-,-
23.png,Yd,-,-
24.png,Sgn!,-,-
25.png,"iy / , / “yf, | / # . Fg “ ,",-,-
26.png,a,-,-
27.png,y ©,-,-
28.png,7G &,-,-
29.png,— ST,-,-
30.png,See eg Ge Se “>,-,-
31.png,i a a,-,-
32.png,-,-,-
33.png,LT,-,-
34.png,-,-,-
35.png,NE,-,-
36.png,-,-,-
