filename,tesseract,easyocr,openai
01.png,wo,-,-
02.png,AY,-,-
03.png,ti - *,-,-
04.png,Ee,-,-
05.png,—- ———_,-,-
06.png,4,-,-
07.png,—\,-,-
08.png,Z21,-,-
09.png,—_——,-,-
10.png,St,-,-
11.png,YL 22,-,-
12.png,SNS,-,-
13.png,-,-,-
14.png,s2),-,-
15.png,Se,-,-
16.png,TIT,-,-
17.png,V=H,-,-
18.png,VL,-,-
19.png,ZA <s£,-,-
20.png,mS _ A,-,-
21.png,C57 OV,c 5,-
22.png,IL Su,-,-
23.png,SS,-,-
24.png,LiF TG Ml in,-,-
25.png,V,-,-
26.png,Ya,-,-
27.png,mero,-,-
28.png,—<—————V,V,-
29.png,CS,-,-
30.png,Ww 2h,-,-
31.png,-,-,-
32.png,J,-,-
33.png,—fAr-,-,-
34.png,SS? ( “Wa,-,-
35.png,eZ,-,-
36.png,-,-,-
