filename,tesseract,easyocr,openai
01.png,-,-,-
02.png,-,-,-
03.png,Ss. — 2,-,-
04.png,4] 2k,1,-
05.png,D,-,-
06.png,- = *0,A,-
07.png,po,-,-
08.png,Vy \\,-,-
09.png,-,-,-
10.png,2\_ Is,-,-
11.png,-,-,-
12.png,He),-,-
13.png,4,-,-
14.png,eS,-,-
15.png,"i""",-,-
16.png,"a i a ""<i"" ae —a “N ast —s",-,-
17.png,fr,-,-
18.png,-,-,-
19.png,RY,-,-
20.png,CMSs,75 `,-
21.png,ie,-,-
22.png,[| es |,-,-
23.png,Slax,-,-
24.png,-,-,-
25.png,Re,-,-
26.png,Ww),-,-
27.png,\ \,-,-
28.png,jf,-,-
29.png,Uy,-,-
30.png,-,-,-
31.png,-,-,-
32.png,-,-,-
33.png,-,-,-
34.png,-,-,-
35.png,-,-,-
36.png,-,-,-
