filename,tesseract,easyocr,openai
01.png,Auw~,-,-
02.png,\—],-,-
03.png,TLENS,-,-
04.png,TEE,-,-
05.png,SB,-,-
06.png,NSA,-,-
07.png,TILA IHS,-,-
08.png,“yA,-,-
09.png,vw ff % © Pht. 77YNN,-,-
10.png,Sree a OOoNeeeeaaS en Ne en ae,-,-
11.png,a} 7.7 NN,-,-
12.png,—\ JT,-,-
13.png,— CY),-,-
14.png,Se,-,-
15.png,“XxX _—_— 2 ~,-,-
16.png,=,-,-
17.png,7 )its,-,-
18.png,-,-,-
19.png,CH WN ANS,-,-
20.png,'™= a . Qo . a — ~-> -—_—,2,-
21.png,wa,-,-
22.png,YY,-,-
23.png,-,-,-
24.png,PE NN,-,-
25.png,Nas,-,-
26.png,AVY MS,-,-
27.png,ON,-,-
28.png,2,-,-
29.png,PU,-,-
30.png,LDA,-,-
31.png,-,-,-
32.png,-,-,-
33.png,-,-,-
34.png,-,-,-
35.png,-,-,-
36.png,-,-,-
