filename,tesseract,easyocr,openai
01.png,7a,-,-
02.png,4 7 2 2 7 7,-,-
03.png,s,-,-
04.png,ii i 4 ma- ~~ Te”,-,-
05.png,S\ |!,-,-
06.png,2A,-,-
07.png,een,-,-
08.png,(Ch 7,-,-
09.png,— S ASE2,-,-
10.png,yf \,-,-
11.png,-,-,-
12.png,fi &*,-,-
13.png,>,-,-
14.png,Lo -- _-,-,-
15.png,ee,-,-
16.png,Of,-,-
17.png,TJ | —>,-,-
18.png,NX,-,-
19.png,— '\,-,-
20.png,ae,-,-
21.png,= q—,-,-
22.png,=a,-,-
23.png,LY,-,S I
24.png,7,-,-
25.png,-,-,-
26.png,(LE,-,-
27.png,“NG,-,-
28.png,oN,-,-
29.png,ZS,-,-
30.png,~ owls foe,Iz_ ~,-
31.png,ad “—,-,-
32.png,a,-,-
33.png,of,-,-
34.png,-,-,-
35.png,"—““""- _—~__~ —_",-,-
36.png,-,-,-
