filename,tesseract,easyocr,openai
01.png,-_,-,-
02.png,"IG, yi",-,-
03.png,1a,-,-
04.png,L} seal |\\,-,-
05.png,AS,-,-
06.png,-,-,-
07.png,Y \\ WV,-,-
08.png,aN,-,-
09.png,f=—\,-,-
10.png,A. ~~ ~— .,-,-
11.png,~\,-,A
12.png,EY,-,-
13.png,org vy e? -7.7 8,-,-
14.png,Ak,-,-
15.png,N24,-,-
16.png,L_3,-,-
17.png,“- Lf,-,-
18.png,Se,-,-
19.png,-,-,-
20.png,LS 3,-,-
21.png,a er e 7 of se. oe 7. ~~+b,-,-
22.png,ame ad mont,-,-
23.png,NC,-,-
24.png,"UY, fe) “7",0,-
25.png,SS,-,-
26.png,-,-,-
27.png,(Sany,-,-
28.png,Fa,-,-
29.png,<<<,-,-
30.png,o~,-,-
31.png,-,-,-
32.png,YS,-,-
33.png,yor,-,-
34.png,-,-,-
35.png,"_—_, ~ ‘N J .7",-,-
36.png,-,-,-
