filename,tesseract,easyocr,openai
01.png,——— Li ———=,-,-
02.png,SZ,-,-
03.png,-,-,-
04.png,-,-,-
05.png,— —,-,-
06.png,-,-,-
07.png,—- (FS,-,-
08.png,=\,-,-
09.png,JEAN,-,-
10.png,» a,-,-
11.png,WA ON,-,-
12.png,<i || an =,-,-
13.png,Al,-,-
14.png,ne ———,-,-
15.png,COTY,-,-
16.png,> — —,-,-
17.png,-,1 /,-
18.png,S/H,-,-
19.png,SS,-,-
20.png,SS,-,-
21.png,-,-,-
22.png,[= \,-,-
23.png,—_— - — =,-,-
24.png,do [Za,-,-
25.png,-,-,-
26.png,AEs J ——— ee ee ee,-,-
27.png,-,-,-
28.png,-,-,-
29.png,WIN ANDHE,-,-
30.png,-,-,-
31.png,-,-,-
32.png,= i_____li5,-,-
33.png,: en,-,-
34.png,A\y/,-,-
35.png,-,-,-
36.png,-,-,-
