filename,tesseract,easyocr,openai
01.png,Te,-,-
02.png,-,-,-
03.png,ais,-,-
04.png,NO,-,-
05.png,-,-,-
06.png,iw — Sadie -),-,-
07.png,Uy,-,-
08.png,——_laT—,-,-
09.png,Ne,-,-
10.png,LTH A i rr eo — 7,-,-
11.png,-,-,-
12.png,——,-,-
13.png,-,-,-
14.png,Ly,-,-
15.png,-,-,-
16.png,ww |,-,-
17.png,~d/)) P=,-,-
18.png,-,-,-
19.png,— ~ — —_,-,-
20.png,a,-,-
21.png,L*y,-,-
22.png,-,-,-
23.png,Ut),-,-
24.png,-,-,-
25.png,—,-,-
26.png,a,-,-
27.png,U-—],-,-
28.png,“tt Ub Ne,-,-
29.png,eeF J,-,-
30.png,- ESA FE,-,-
31.png,a2,-,-
32.png,-,-,-
33.png,27Vv BiiN,-,-
34.png,po™,-,-
35.png,0,-,-
36.png,-,-,-
