filename,tesseract,easyocr,openai
01.png,7 —— ee a,-,-
02.png,__,-,-
03.png,—— SB -,-,-
04.png,‘ff KX,-,-
05.png,ios Sl ——=———,-,-
06.png,L__,-,-
07.png,— Lae,LJCA,-
08.png,wu 3 Bu UY,0 0 0 0,-
09.png,IN,-,-
10.png,éb,-,-
11.png,Py OV,-,-
12.png,26),-,-
13.png,\ 07,-,-
14.png,cL Ox,-,-
15.png,oS ea,-,-
16.png,Se,-,-
17.png,SSS,-,-
18.png,-,-,-
19.png,-,IKJL,-
20.png,' |,-,-
21.png,(ss,-,-
22.png,-,-,-
23.png,a,-,-
24.png,IN? ab 4s,-,-
25.png,bt,-,-
26.png,(le tsrs |,-,-
27.png,A,-,-
28.png,GUA,-,-
29.png,EG),-,-
30.png,7 (,-,-
31.png,"va""",-,-
32.png,df»),-,-
33.png,all,-,-
34.png,-,-,-
35.png,-,-,-
36.png,-,-,-
