filename,tesseract,easyocr,openai
01.png,SSNS,-,-
02.png,a,-,-
03.png,i | a | Wa - —as we,-,-
04.png,-,L,-
05.png,-,-,-
06.png,{\,-,-
07.png,21 —,-,-
08.png,—_ — —,-,-
09.png,WALK,L,-
10.png,Z2L],-,-
11.png,-,J),-
12.png,6.,-,-
13.png,\ i /,-,-
14.png,Ss - nad = a > i,-,-
15.png,BASS eee ai,-,-
16.png,ol,-,-
17.png,ZT,-,-
18.png,6 Se,-,-
19.png,wase--oeoonnrn,-,-
20.png,-,-,-
21.png,LN _—_—=———,24,-
22.png,at WB | il,-,-
23.png,£B—,-,-
24.png,Ra,-,-
25.png,lee eee,-,-
26.png,< & ne,-,-
27.png,"Zo"" 7 Za a = aa 3g ie:",-,-
28.png,/_SL-,-,-
29.png,ff \wr,-,-
30.png,ELIS,-,-
31.png,-,-,-
32.png,wee,-,-
33.png,ZL,-,-
34.png,ad 4 =e =.,-,-
35.png,-,-,-
36.png,-,-,-
