filename,tesseract,easyocr,openai
01.png,", “2 Z\ —.",-,-
02.png,La,-,-
03.png,=,-,-
04.png,_—_,-,-
05.png,"a, |",-,-
06.png,},-,-
07.png,INNS,-,-
08.png,L_\,-,-
09.png,7 1 \,-,-
10.png,mM Ny,d,-
11.png,ae,-,-
12.png,a,-,-
13.png,4 7 -,-,-
14.png,”AIN,-,-
15.png,LY,-,-
16.png,/-—— N / | \,-,-
17.png,A LN,-,-
18.png,-,-,-
19.png,oS,-,-
20.png,-,-,-
21.png,iC rue as),-,-
22.png,aN,-,-
23.png,I—,-,-
24.png,SS,-,-
25.png,“4,-,-
26.png,LL,-,-
27.png,a a,-,-
28.png,ss,-,-
29.png,<OREON,-,-
30.png,NZ”,-,-
31.png,Soo N\,-,-
32.png,: Us LJ,-,-
33.png,! | oN,-,-
34.png,AS,-,-
35.png,la,-,-
36.png,-,-,-
